formula_actual,perovskite_type,predicted_bg,predicted_bg_corrected,energy_above_hull_eV,pd_score,application,lead_free
Cs2AgBiBr6,double,1.7989461664623034,1.18073615938117,0.005524869812501,1.0,NIR PD,True
Cs2AgBiCl6,double,2.282631082405555,1.6644210753244215,0.0,1.0,Visible PD,True
Cs2AgSbCl6,double,2.1282309469012417,1.5100209398201083,0.0,1.0,Visible PD,True
Cs2InAgCl6,double,1.7706330330243456,1.1524230259432122,0.0,1.0,NIR PD,True
Cs2InBiBr6,double,1.4774463373381237,0.8592363302569902,0.001883916666667,1.0,NIR PD,True
Cs2PdCl6,vacancy_ordered,1.2468592730036516,0.6286492659225181,0.0,1.0,NIR PD,True
Cs2PdBr6,vacancy_ordered,1.1372083916416054,0.5189983845604719,0.0,1.0,NIR PD,True
Cs2PtBr6,vacancy_ordered,1.7339516510525366,1.1157416439714032,0.0,1.0,NIR PD,True
Cs2PtCl6,vacancy_ordered,1.8819596092232929,1.2637496021421597,0.0,1.0,NIR PD,True
Cs2SnI6,vacancy_ordered,1.1194591318315272,0.5012491247503937,0.0,1.0,NIR PD,True
Cs2TeBr6,vacancy_ordered,2.0981964236337767,1.4799864165526433,0.0,1.0,NIR PD,True
Cs2NaInBr6,double,2.1894585168937515,1.571248509812618,0.0,1.0,Visible PD,True
Cs2LiInBr6,double,2.0643403545614807,1.4461303474803473,0.0,1.0,NIR PD,True
Cs2SnBr6,vacancy_ordered,1.8209952018527933,1.2027851947716597,0.0,1.0,NIR PD,True
Cs2PtI6,vacancy_ordered,1.4311337672529665,0.812923760171833,0.0,1.0,NIR PD,True
K2CuBiCl6,double,1.7405648967860246,1.1223548897048912,0.0,1.0,NIR PD,True
K2InAgCl6,double,1.8599088465733973,1.241698839492264,0.006189198999998,1.0,NIR PD,True
CsGaAgF6,double,1.237950428610706,0.6197404215295724,0.0,1.0,NIR PD,True
Cs3Sb2I9,Sb_Bi_ternary,2.3057430152337486,1.6875330081526152,0.0,1.0,Visible PD,True
Cs4InSbCl12,double,1.6589369027580585,1.040726895676925,0.0,1.0,NIR PD,True
CsGeBr3,single,1.7352575244663044,1.117047517385171,0.0,1.0,NIR PD,True
Cs2ZrI6,vacancy_ordered,2.462846500995373,1.84463649391424,0.0,1.0,Visible PD,True
Cs4TlSbCl12,double,1.6605969151832207,1.0423869081020871,0.0,1.0,NIR PD,True
CsGeI3,single,2.466462170447628,1.8482521633664943,0.0,1.0,Visible PD,True
Cs2TlInBr6,double,2.460471861957316,1.8422618548761824,0.0,1.0,Visible PD,True
Cs2TlBiBr6,double,2.471569361288524,1.8533593542073907,0.008358704500001,1.0,Visible PD,True
Cs2TiI6,vacancy_ordered,1.2567036162583247,0.6384936091771912,0.0,1.0,NIR PD,True
Cs2TiCu3F12,double,1.5471868899246306,0.9289768828434972,0.0,1.0,NIR PD,True
Cs2TeI6,vacancy_ordered,1.6324586973740376,1.014248690292904,0.0,1.0,NIR PD,True
CsSnBr3,single,2.1315067507455696,1.5132967436644362,0.0,1.0,Visible PD,True
CsSnI3,single,1.4556284014123633,0.8374183943312298,0.0,1.0,NIR PD,True
Rb2PtI6,vacancy_ordered,1.2627515932836866,0.6445415862025531,0.0,1.0,NIR PD,True
Rb2PdI6,vacancy_ordered,1.4914044170908434,0.8731944100097099,0.006514079166662,1.0,NIR PD,True
Rb2TeI6,vacancy_ordered,1.9345170071658249,1.3163070000846917,0.0,1.0,NIR PD,True
Rb2SnBr6,vacancy_ordered,1.8558778712620767,1.237667864180943,0.0,1.0,NIR PD,True
TlSnI3,single,2.3299008564092665,1.711690849328133,0.0,1.0,Visible PD,True
RbSnBr3,single,2.498104167211472,1.8798941601303385,0.0,1.0,Visible PD,True
RbGeI3,single,2.4808612096574625,1.862651202576329,0.005060806333333,1.0,Visible PD,True
TlCuCl3,single,1.124409243423471,0.5061992363423374,0.001393829499997,1.0,NIR PD,True
RbSnI3,single,2.4822586172963312,1.8640486102151976,0.0,1.0,Visible PD,True
Rb4TlSbCl12,double,1.8167706652732296,1.198560658192096,0.0,1.0,NIR PD,True
